id_desa,nama_desa,id_kecamatan,id_kabupaten
203,BATU RAJA,106,5
204,BATU RAJA,120,7
205,BATU RAJA,123,7
206,BATU RAJA,134,8
207,BATU TEGI,146,10
208,BATULIMAN INDAH,17,2
209,BAUH GUNUNG SARI,80,4
210,BAWANG,120,7
211,BAWANG SAKTI JAYA,167,11
212,BAWANG TIRTO MULYO,167,11
213,BAYAS JAYA,124,7
214,BEDAROU INDAH,174,11
215,BEDUDU,6,1
216,BELAMBANGAN,25,2
217,BELIMBING SARI,67,4
218,BELU,155,10
219,BENGKULU,196,13
220,BENGKULU JAYA,196,13
221,BENGKULU RAMAN,196,13
222,BENGKULU REJO,196,13
223,BENGKULU TENGAH,196,13
224,BENTENG JAYA,154,10
225,BENTENG SARI,67,4
226,BERASAN MAKMUR,113,6
227,BERINGIN,86,5
228,BERINGIN JAYA,36,3
229,BERINGIN JAYA,97,5
230,BERINGIN JAYA,202,13
231,BERINGIN JAYA,204,13
232,BERINGIN JAYA,209,14
233,BERINGIN KENCANA,17,2
234,BERINGIN RAYA,209,14
235,BERNUNG,115,7
236,BERUNDUNG,21,2
237,BETUNG,26,2
238,BETUNG,158,10
239,BIHA,132,8
240,BILABONG JAYA,211,14
241,BIMA SAKTI,200,13
242,BINA BUMI,175,11
243,BINA KARYA BARU,47,3
244,BINA KARYA BUANA,48,3
245,BINA KARYA JAYA,47,3
246,BINA KARYA MANDIRI,48,3
247,BINA KARYA PUTRA,48,3
248,BINA KARYA SAKTI,47,3
249,BINA KARYA UTAMA,47,3
250,BINDU,86,5
251,BINJAI AGUNG,38,3
252,BINJAI WANGI,159,10
253,BLAMBANGAN,94,5
254,BLAMBANGAN UMPU,193,13
255,BLITAREJO,140,9
256,BOGATAMA,177,11
257,BOGOREJO,115,7
258,BOJONG,80,4
259,BOJONG BARAT,98,5
260,BONGLAI,191,13
261,BONGLAI TENGAH,97,5
262,BRABASAN,113,6
263,BRAJA ASRI,84,4
264,BRAJA CAKA,84,4
265,BRAJA DEWA,84,4
266,BRAJA EMAS,84,4
267,BRAJA FAJAR,84,4
268,BRAJA GEMILANG,64,4
269,BRAJA HARJOSARI,64,4
270,BRAJA INDAH,64,4
271,BRAJA KENCANA,64,4
272,BRAJA LUHUR,64,4
273,BRAJA MULYA,64,4
274,BRAJA SAKTI,84,4
275,BRAJA YEKTI,64,4
276,BRANTI RAYA,23,2
277,BRATASENA ADIWARNA,169,11
278,BRATASENA MANDIRI,169,11
279,BRATAYUDHA,203,13
280,BRAWIJAYA,80,4
281,BUAH BERAK,19,2
282,BUANA SAKTI,62,4
283,BUAY NYERUPA,12,1
284,BUDI AJI,112,6
285,BUDI LESTARI,29,2
286,BUDIDAYA,27,2
287,BUJUK AGUNG,168,11
288,BUJUNG BURING,113,6
289,BUJUNG BURING BARU,113,6
290,BUJUNG DEWA,185,12
291,BUJUNG SARI MARGA,185,12
292,BUJUNG TENUK,173,11
293,BUKIT GEMURUH,204,13
294,BUKIT HARAPAN,204,13
295,BUKIT KEMUNING,95,5
296,BUKIT RAYA,70,4
297,BUKITBATU,197,13
298,BUKO POSO,114,6
299,BULOK,19,2
300,BULU SARI,40,3
301,BULUKARTO,140,9
302,BULUREJO,140,9
303,BUMI AGUNG,6,1
304,BUMI AGUNG,19,2
305,BUMI AGUNG,121,7
306,BUMI AGUNG,190,13
307,BUMI AGUNG,195,13
308,BUMI AGUNG MARGA,92,5
309,BUMI AGUNG WATES,190,13
310,BUMI AJI,34,3
311,BUMI ASIH,24,2
312,BUMI ASRI,24,2
313,BUMI AYU,81,4
314,BUMI BARU,193,13
315,BUMI DANA,204,13
316,BUMI DAYA,24,2
317,BUMI DIPASENA ABADI,179,11
318,BUMI DIPASENA AGUNG,179,11
319,BUMI DIPASENA JAYA,179,11
320,BUMI DIPASENA MAKMUR,179,11
321,BUMI DIPASENA MULYA,179,11
322,BUMI DIPASENA SJAHTERA,179,11
323,BUMI DIPASENA UTAMA,179,11
324,BUMI HANTATAI,3,1
325,BUMI HARAPAN,114,6
326,BUMI JAWA,63,4
327,BUMI JAYA,12,1
328,BUMI JAYA,17,2
329,BUMI JAYA,34,3
330,BUMI JAYA,92,5
331,BUMI JAYA,198,13
332,BUMI KEDAMAIAN,207,14
333,BUMI KENCANA,51,3
334,BUMI MANDIRI,85,5
335,BUMI MAS,51,3
336,BUMI MAS,62,4
337,BUMI MERAPI,192,13
338,BUMI MULYA,201,13
339,BUMI MULYO,80,4
340,BUMI NABUNG,85,5
341,BUMI NABUNG BARU,39,3
342,BUMI NABUNG ILIR,39,3
343,BUMI NABUNG SELATAN,39,3
344,BUMI NABUNG TIMUR,39,3
345,BUMI NABUNG UDIK,81,4
346,BUMI NABUNG UTARA,39,3
347,BUMI RAHARJA,90,5
348,BUMI RAHARJO,40,3
349,BUMI RAHAYU,40,3
350,BUMI RATU,40,3
351,BUMI RATU,104,5
352,BUMI RATU,130,8
353,BUMI RATU,178,11
354,BUMI RATU,203,13
355,BUMI RAYA,88,5
356,BUMI RAYA,205,14
357,BUMI REJO,192,13
358,BUMI RESTU,24,2
359,BUMI RESTU,90,5
360,BUMI SARI,180,11
361,BUMI SAY AGUNG,195,13
362,BUMI SENTOSA,179,11
363,BUMI SETIA MATARAM,53,3
364,BUMI TINGGI,65,4
365,BUMI WARAS,136,8
366,BUMI WARAS,205,14
367,BUMIARUM,144,9
368,BUMIAYU,144,9
369,BUMIHARJO,62,4
370,BUMIHARJO,194,13
371,BUMIRATU,141,9
372,BUMIREJO,141,9
373,BUMISARI,23,2
374,BUNGKUK,70,4
375,BUNUT,125,7
376,BUNUT SEBRANG,125,7
377,BURING KENCANA,94,5
378,BUYUT BARU,54,3
379,BUYUT ILIR,41,3
380,BUYUT UDIK,41,3
381,BUYUT UTARA,41,3
382,CABANG,36,3
383,CABANG ABUNG RAYA,88,5
384,CABANG EMPAT,88,5
385,CAHAYA MAKMUR,103,5
386,CAHAYA MAS,102,5
387,CAHAYA NEGERI,85,5
388,CAHAYA NEGERI,129,8
389,CAHYOU RANDU,185,12
390,CAMPANG,5,1
391,CAMPANG,150,10
392,CAMPANG DELAPAN,191,13
393,CAMPANG GIJUL,87,5
394,CAMPANG JAYA,214,14
395,CAMPANG RAYA,214,14
396,CAMPANG TIGA,27,2
397,CAMPANG TIGA,154,10
398,CAMPANG WAY HANDAK,159,10
399,CAMPUR ASRI,192,13
400,CANDI REJO,59,3
401,CANDIMAS,23,2
402,CANDIMAS,88,5
403,CANDIRETNO,141,9
404,CANDRA JAYA,186,12
405,CANDRA KENCANA,186,12
406,CANDRA MUKTI,186,12
407,CANGGU,4,1
408,CANGGU,19,2
409,CANGGUNG,26,2
410,CANTI,26,2
411,CATUR KARYA BUANA JAYA,168,11
412,CATUR SWAKO,65,4
413,CEMPAKA,103,5
414,CEMPAKA BARAT,103,5
415,CEMPAKA DALEM,174,11
416,CEMPAKA JAYA,174,11
417,CEMPAKA NUBAN,63,4
418,CEMPAKA PUTIH,36,3
419,CEMPAKA TIMUR,103,5
420,CEMPEDAK,98,5
421,CERINGIN ASRI,125,7
422,CIAMIS,106,5
423,CIHERANG,151,10
424,CILIMUS,122,7
425,CIMANUK,123,7
426,CIMARIAS,37,3
427,CINTA MULYA,17,2
428,CIPADANG,115,7
429,CIPTA MULYA,8,1
430,CIPTA WARAS,7,1
431,COMOK SINAR JAYA,102,5
432,CUGAH,192,13
433,CUGUNG,26,2
434,CURUP GURUH KAGUNGAN,99,5
435,CURUP PATAH,196,13
436,DADAPAN,162,10
437,DADIMULYO,165,10
438,DADIREJO,165,10
439,DADISARI,165,10
440,DARUSSALAM,151,10
441,DATAR BANCONG,197,13
442,DATAR LEBUAY,146,10
443,DATARAJAN,164,10
444,DAYA ASRI,188,12
445,DAYA MURNI,188,12
446,DAYA SAKTI,188,12
447,DENTE MAKMUR,169,11
448,DEPOK REJO,58,3
449,DEWA AGUNG,190,13
450,DHARMA AGUNG MATARAM,53,3
451,DONO ARUM,51,3
452,DONO MULYO,191,13
453,DONOMULYO,65,4
454,DURIAN,119,7
455,DURIAN PAYUNG,218,14
456,DUTO YOSO MULYO,180,11
457,DWI KARYA MUSTIKA,109,6
458,DWI WARGA TUNGGAL JAYA,166,11
459,DWIKORA,95,5
460,DWIKORA JAYA,182,12
461,DWIMULYO,177,11
462,EKA MULYA,109,6
463,ENDANG REJO,51,3
464,ENGGAL,206,14
465,ENGGALREJO,137,9
466,FAJAR AGUNG,144,9
467,FAJAR AGUNG BARAT,144,9
468,FAJAR ASRI,51,3
469,FAJAR ASRI,110,6
470,FAJAR BARU,18,2
471,FAJAR BARU,110,6
472,FAJAR BARU,142,9
473,FAJAR BULAN,41,3
474,FAJAR INDAH,110,6
475,FAJAR MATARAM,53,3
476,FAJAR MULIA,142,9
477,FAJARESUK,144,9
478,GADING,159,10
479,GADING REJO TIMUR,140,9
480,GADING REJO UTARA,140,9
481,GADINGREJO,140,9
482,GALIH LUNIK,29,2
483,GANDRI,25,2
