id_SMA,nama_SMA,id_kabupaten
166,MAS MATHLA`UL ANWAR,10
167,MAS MATHLAUL ANWAR,2
168,MAS MATHLAUL ANWAR,13
169,MAS MATHLAUL ANWAR KECAPI,2
170,MAS MATHLAUL ANWAR KEDATON,14
171,MAS MATLA`UL ANWAR,11
172,MAS MIFTAHUL HUDA,1
173,MAS MIFTAHUL HUDA,3
174,MAS MIFTAHUL JANNAH,11
175,MAS MIFTAHUL JANNAH,11
176,MAS MIFTAHUL ULUM,3
177,MAS MIFTAHUL ULUM,4
178,MAS MIFTAHUL ULUM,13
179,MAS MINHADLUL ULUM,2
180,MAS MUALIMIN AL ISLAM,4
181,MAS MUHAMMADIYAH,3
182,MAS MUHAMMADIYAH,4
183,MAS MUHAMMADIYAH 1 BATULIMAN INDAH,2
184,MAS MUHAMMADIYAH I,14
185,MAS MUHAMMADIYAH METRO,15
186,MAS MUHAMMADYAH 1,3
187,MAS NAHDLATUL ULAMA,14
188,MAS NURUL FALAH,4
189,MAS NURUL FATTAH,10
190,MAS NURUL HIKMAH,11
191,MAS NURUL HUDA,3
192,MAS NURUL HUDA,5
193,MAS NURUL HUDA,10
194,MAS NURUL HUDA,13
195,MAS NURUL HUDA SRAGI,2
196,MAS NURUL IMAN,1
197,MAS NURUL IMAN,10
198,MAS NURUL ISLAM,5
199,MAS NURUL ISLAM,10
200,MAS NURUL ISLAM,13
201,MAS NURUL ISLAM JATI AGUNG,2
202,MAS NURUL ULUM,3
203,MAS NURUL ULUM,3
204,MAS NURUL ULUM PURA JAYA,1
205,MAS PEMNU,10
206,MAS PESANTREN NURUL ISLAM,2
207,MAS PLUS WALISONGO,5
208,MAS PP. FUTUHIYYAH 2,5
209,MAS PP. KH. A. DAHLAN,5
210,MAS PP. MODEREN MAKKAH,13
211,MAS RAUDHATUS SHOLIHIN,5
212,MAS RAUDLATUL HIDAYAH MAARIF,4
213,MAS RAUDLATUL ULUM,5
214,MAS RAUDOTUL MUTA`ALLIMIN,13
215,MAS RIYADLUSSHALIHIN,5
216,MAS ROUDLATUL ULUM,3
217,MAS ROUDLOTUL HUDA,3
218,MAS SINAR HARAPAN,10
219,MAS SRIWIJAYA,4
220,MAS TERPADU USHULUDDIN,2
221,MAS TGIA PERKEMAS,14
222,MAS TRI BAKTI AL IKHLAS,3
223,MAS TRI BAKTI AL IKHLAS,3
224,MAS TRI BHAKTI ATTAQWA,4
225,MAS TUMANINAH YASIN,15
226,MAS WALI SONGO,3
227,MAS YAMSU,1
228,MAS YAPSI SUMBERJAYA,1
229,MAS YASMIDA,10
230,MAS YMPI PUTIHDOH,10
231,MAS YPPTQMH,10
232,MAS ZAMAIS,10
233,MAS AL- ASWAN,13
234,MAS AL- MA`ARIF,10
235,MAS AL MA`ARUF,10
236,MAS AL- MA`MUR,10
237,SMA 11 MARET SUMBER AGUNG,10
238,SMA 17 GADINGREJO,10
239,SMA 17 PAGELARAN,10
240,SMA ADI SUCIPTO,11
241,SMA ADIGUNA,14
242,SMA AL AZHAR 1 SEKAMPUNG UDIK,4
243,SMA AL HIDAYAH,3
244,SMA AL-AZHAR 3,14
245,SMA AL-AZHAR BANJAR AGUNG,11
246,SMA AL-HUDA,2
247,SMA AL-IRSYAD,2
248,SMA ALISLMAILIYUN,2
249,SMA AL-KAUTSAR,14
250,SMA AR RAHMAN,1
251,SMA ARJUNA,14
252,SMA ASSALAM,2
253,SMA ASY-SYAFI'IYAH,1
254,SMA BAERINGIN RATU RAWAJITU SELATAN,11
255,SMA BANGUN CIPTA RUMBIA,3
256,SMA BERINGIN RATU PAKUAN RATU,13
257,SMA BHAKTI,5
258,SMA BHAKTI BARADATU,13
259,SMA BHAKTI JAYA,5
260,SMA BHAKTI KOTABUMI,5
261,SMA BHAKTI MULYA,1
262,SMA BHAKTI MULYA,5
263,SMA BHAKTI SEMBILAN,13
264,SMA BHAKTI TARUNA,11
265,SMA BIMA SAKTI,10
266,SMA BIMA SUCI,13
267,SMA BINA ISLAMI,1
268,SMA BINA MULIA,10
269,SMA BINA MULYA,14
270,SMA BINAKARYA,3
271,SMA BINTANG TIMUR,2
272,SMA BODHISATTVA,14
273,SMA BUANA SRIBAWONO,4
274,SMA BUDAYA,14
275,SMA BUDI UTAMA,13
276,SMA BUSTANUL ULUM,3
277,SMA CATUR KARYA BANJAR MARGO,11
278,SMA CATUR SAKTI,4
279,SMA DARMA BANGSA INTERNASIONAL,14
280,SMA DARUL ARAFAH BUMI RATU NUBAN,3
281,SMA DARUL FIKRI SUMANDA,10
282,SMA DARUL FIKRI SUMANDA,10
283,SMA DARUL ULUM,2
284,SMA DAYA SAKTI,11
285,SMA DHARMA ASIH,2
286,SMA DHARMA BINA PUTRA,2
287,SMA DINAMIKA,5
288,SMA DIRGANTARA,14
289,SMA FANTRI BAKTI SEPUTIH BANYAK,3
290,SMA FATAHILLAH,2
291,SMA FRANSISKUS,14
292,SMA GAJAH MADA,14
293,SMA GANESA METRO,15
294,SMA HANG TUAH,5
295,SMA HIDAYATUL MUSLIHIN NEGARA BATIN,13
296,SMA HMPTI BANJAR AGUNG,11
297,SMA IBNU SINA,4
298,SMA IMMANUEL,14
299,SMA ISLAM BINA SEJAHTERA BANJIT,13
300,SMA ISLAM IBNU RUSYD,5
301,SMA ISLAM KALIANDA,2
302,SMA ISLAM KEBUMEN,10
303,SMA ISLAM MA'ARIF KETAPANG,2
304,SMA ISLAM NURUL IMAN,13
305,SMA ISLAM TERPADU MIFTAHUL ULUM,11
306,SMA ISLAM YPI 4 SUKAJAYA,11
307,SMA ISLAMIYAH,14
308,SMA IT AL - FARABI,7
309,SMA IT BABUL HIKMAH KALIANDA,2
310,SMA JASA BHAKTI GEDUNG AJI,11
311,SMA JAYA BAYA KOTABUMI,5
312,SMA JURAI WIRA NEGERI AGUNG,13
313,SMA KARTIKATAMA METRO,15
314,SMA KARYA BHAKTI,2
315,SMA KARYA BHAKTI NEGERI BESAR,13
316,SMA KARYA MATARAM,2
317,SMA KELAUTAN SWADHIPA,2
318,SMA KEMALA BHAYANGKARI KOTABUMI,5
319,SMA KESUMA BAKTI BEKRI,3
320,SMA KHADIJAH,7
321,SMA KOSGORO SEKAMPUNG,4
322,SMA KOSGORO SRIBAWONO,4
323,SMA KRIDA UTAMA,3
324,SMA KRIDA UTAMA 2,3
325,SMA KRISTEN 1 METRO,15
326,SMA KRISTEN 2 SEKAMPUNG UDIK,4
327,SMA KRISTEN 3 TERBANGGI BESAR,3
